,entity_id,city,state,county,primary_subject,poverty,grade,start_time,end_time,type,price,reach,date,eligible_double_your_impact_match,school_charter,school_magnet,temp_label
0,000cf99200f2b4f93b4d06d56c809b12,forest hills,ny,queens,environmental science,highest,middle,2013-03-26 00:00:00.000000,2019-06-19 22:23:24.884365,technology,175.81,120.0,2013-03-26 00:00:00.000000,0,0,0,train
1,0035800ec6abd4343365abec29ce81c0,denham spgs,la,livingston,literacy,high,primary,2012-11-06 00:00:00.000000,2019-06-19 22:23:24.884365,technology,267.46,90.0,2012-11-06 00:00:00.000000,0,0,0,train
2,0039b159c50b3aafa2bcb648a201791a,worcester,ma,worcester,music,highest,middle,2013-01-25 00:00:00.000000,2019-06-19 22:23:24.884365,other,1468.09,350.0,2013-01-25 00:00:00.000000,0,0,1,train
3,005316de2f32b0565ea159bd6c1a1500,louisville,ky,jefferson,mathematics,high,primary,2013-02-08 00:00:00.000000,2019-06-19 22:23:24.884365,technology,1057.14,24.0,2013-02-08 00:00:00.000000,0,0,0,train
4,005df19b69bfe71722adf1e93b6fa897,fort worth,tx,tarrant,literacy,highest,pre,2012-03-17 00:00:00.000000,2019-06-19 22:23:24.884365,supplies,567.94,22.0,2012-03-17 00:00:00.000000,0,0,1,train
5,007cb7ee034680d5765262719aa4661d,tampa,fl,hillsborough,applied sciences,highest,pre,2012-12-13 00:00:00.000000,2019-06-19 22:23:24.884365,technology,155.29,30.0,2012-12-13 00:00:00.000000,0,0,0,train
6,007cb7ee034680d5765262719aa4661d,tampa,fl,hillsborough,literacy,highest,pre,2012-12-13 00:00:00.000000,2019-06-19 22:23:24.884365,technology,155.29,30.0,2012-12-13 00:00:00.000000,0,0,0,train
7,007d9ea2bcbc35b3de732ee820f2a01f,durham,nc,durham,environmental science,high,middle,2012-04-04 00:00:00.000000,2019-06-19 22:23:24.884365,technology,866.75,999.0,2012-04-04 00:00:00.000000,0,0,0,train
8,00843b9239b0f861a562c712f87b234b,north hills,ca,los angeles,performing arts,highest,pre,2012-04-22 00:00:00.000000,2019-06-19 22:23:24.884365,supplies,561.88,22.0,2012-04-22 00:00:00.000000,0,0,0,train
9,00843b9239b0f861a562c712f87b234b,north hills,ca,los angeles,visual arts,highest,pre,2012-04-22 00:00:00.000000,2019-06-19 22:23:24.884365,supplies,561.88,22.0,2012-04-22 00:00:00.000000,0,0,0,train
10,00843b9239b0f861a562c712f87b234b,woodland hls,ca,los angeles,mathematics,high,pre,2012-04-22 00:00:00.000000,2019-06-19 22:23:24.884365,supplies,561.88,22.0,2012-04-22 00:00:00.000000,0,0,0,train
11,009b3f7c73bc4698689c2d34eae36603,charlotte,nc,mecklenburg,literacy,highest,primary,2013-03-08 00:00:00.000000,2019-06-19 22:23:24.884365,books,425.61,20.0,2013-03-08 00:00:00.000000,0,0,1,train
12,00e2a3fe121ef7d82c7876c4f4b4ae8b,arlington,tx,tarrant,literacy,high,pre,2012-03-15 00:00:00.000000,2019-06-19 22:23:24.884365,technology,807.54,17.0,2012-03-15 00:00:00.000000,0,0,0,train
13,00e74bdf1fdc00a0984502ace1890410,trenton,nj,mercer,health & wellness,highest,primary,2012-03-17 00:00:00.000000,2019-06-19 22:23:24.884365,other,340.24,20.0,2012-03-17 00:00:00.000000,0,0,0,train
14,00fca35372d5c597c5d33ac2cbfd6dd8,new york,ny,new york (manhattan),visual arts,highest,primary,2012-03-16 00:00:00.000000,2019-06-19 22:23:24.884365,supplies,545.59,500.0,2012-03-16 00:00:00.000000,1,0,0,train
15,010079bebd5f76b02837cd43e3d7213a,lubbock,tx,lubbock,literature & writing,moderate,primary,2013-02-10 00:00:00.000000,2019-06-19 22:23:24.884365,books,474.72,75.0,2013-02-10 00:00:00.000000,0,0,0,train
16,0106ea124efcde4c91948475cdfdf985,temple city,ca,los angeles,literacy,moderate,pre,2012-02-15 00:00:00.000000,2019-06-19 22:23:24.884365,technology,884.27,25.0,2012-02-15 00:00:00.000000,0,0,0,train
17,01179c86fa01d06057162f30590b6bcb,falls church,va,fairfax,literacy,high,high,2013-03-29 00:00:00.000000,2019-06-19 22:23:24.884365,books,178.33,14.0,2013-03-29 00:00:00.000000,0,0,0,train
